ford, galaxy, 151000, 2011, 103, diesel, 10584, 
citroen, xsara-picasso, 117846, 2006, 80, gasoline, 3697, 
skoda, octavia, 187520, 2009, 77, diesel, 6476, 
ford, focus, 136074, 2011, 70, diesel, 8138, 
ford, mondeo, 137382, 2011, 103, diesel, 10173, 
ford, fiesta, 138000, 2004, 59, gasoline, 2553, 
kia, rio, 92080, 2006, 71, gasoline, 3700, 
opel, meriva, 90000, 2006, 66, gasoline, 3327, 
ford, mondeo, 141000, 2010, 129, diesel, 11065, 
ford, tourneo-connect, 154000, 2010, 66, diesel, 6254, 
jeep, grand-cherokee, 149000, 2001, 103, diesel, 3660, 
fiat, marea, 300017, 2000, 76, gasoline, 736, 
seat, ibiza, 145137, 1998, 40, gasoline, 736, 
skoda, octavia, 215669, 2005, 77, diesel, 6254, 
hyundai, getz, 78700, 2008, 71, gasoline, 2590, 
nissan, micra, 75000, 1998, 40, gasoline, 1110, 
suzuki, alto, 63927, 1997, 40, gasoline, 740, 
opel, corsa, 0, 2015, 66, gasoline, 11626, 
opel, corsa, 0, 2015, 66, gasoline, 11170, 
hyundai, i20, 1500, 2015, 55, diesel, 8511, 
ford, focus, 134000, 2007, 80, diesel, 4626, 
lancia, lybra, 211557, 2000, 76, gasoline, 1291, 
kia, sorento, 125000, 2008, 182, gasoline, 5366, 
skoda, fabia, 99776, 2005, 40, gasoline, 2586, 
fiat, barchetta, 98000, 1997, 96, gasoline, 5551, 
ford, focus, 235000, 2004, 74, diesel, 1702, 
smart, fortwo, 178068, 1999, 40, gasoline, 1846, 
skoda, felicia, 207100, 1999, 50, gasoline, 703, 
hyundai, ix35, 124000, 2010, 135, diesel, 13323, 
skoda, fabia, 62500, 2011, 77, gasoline, 8105, 
audi, a7, 95000, 2012, 180, diesel, 33304, 
skoda, superb, 189016, 2014, 103, diesel, 14800, 
skoda, fabia, 117000, 2003, 50, gasoline, 2405, 
skoda, octavia, 45126, 2010, 77, diesel, 9807, 
skoda, yeti, 74000, 2012, 125, diesel, 17020, 
ford, c-max, 184400, 2006, 80, diesel, 3142, 
fiat, multipla, 198400, 2002, 76, gasoline, 1846, 
ford, fiesta, 96015, 2006, 44, gasoline, 2775, 
ford, c-max, 215000, 2005, 74, gasoline, 3293, 
volvo, xc60, 191000, 2008, 136, diesel, 9030, 
citroen, xantia, 213086, 1999, 97, gasoline, 370, 
nissan, 350-z, 59000, 2004, 206, gasoline, 9955, 
skoda, octavia, 245000, 1998, 81, diesel, 1776, 
citroen, c5, 164000, 2012, 103, diesel, 9585, 
skoda, octavia, 71000, 2012, 81, diesel, 11065, 
skoda, octavia, 51000, 2009, 77, diesel, 9622, 
skoda, octavia, 45000, 2012, 103, diesel, 13319, 
skoda, octavia, 149457, 2011, 118, gasoline, 10544, 
skoda, octavia, 13400, 2015, 110, diesel, 22202, 
skoda, fabia, 81370, 2013, 66, diesel, 7364, 
skoda, octavia, 287878, 1997, 55, gasoline, 407, 
fiat, punto, 134299, 1994, 40, gasoline, 403, 
fiat, punto, 155000, 2003, 51, diesel, 1476, 
ford, focus, 95472, 2001, 66, diesel, 2213, 
skoda, octavia, 229350, 2012, 103, diesel, 7953, 
audi, a6, 44353, 2013, 230, diesel, 51776, 
mazda, 6, 194863, 2008, 125, gasoline, 9248, 
seat, toledo, 162470, 2005, 103, diesel, 3660, 
ford, mondeo, 159217, 2005, 96, diesel, 3252, 
toyota, avensis, 98300, 2003, 95, gasoline, 5514, 
skoda, octavia, 162000, 2009, 77, diesel, 7401, 
fiat, panda, 82524, 2010, 40, gasoline, 2553, 
skoda, felicia, 86390, 1998, 50, gasoline, 629, 
opel, meriva, 113123, 2008, 77, gasoline, 4441, 
opel, astra, 112926, 2010, 74, diesel, 6217, 
skoda, octavia, 212000, 2002, 66, diesel, 3515, 
chrysler, grand-voyager, 235660, 2004, 128, gasoline, 7327, 
skoda, superb, 162000, 2010, 118, gasoline, 9955, 
skoda, octavia, 111640, 2011, 77, diesel, 10695, 
skoda, octavia, 177402, 2004, 81, diesel, 4034, 
skoda, octavia, 94440, 2011, 77, diesel, 10843, 
skoda, octavia, 65000, 2009, 59, gasoline, 6846, 
volvo, v40, 18755, 2013, 84, diesel, 19059, 
skoda, octavia, 216000, 2005, 103, diesel, 5514, 
skoda, fabia, 140000, 2002, 55, gasoline, 2701, 
skoda, fabia, 133423, 2006, 40, gasoline, 2627, 
skoda, octavia, 187723, 2005, 77, diesel, 4626, 
skoda, octavia, 151376, 2007, 77, diesel, 6513, 
skoda, fabia, 106430, 2003, 50, gasoline, 2294, 
skoda, fabia, 77014, 2005, 47, gasoline, 3108, 
skoda, octavia, 188902, 2006, 103, diesel, 5551, 
skoda, octavia, 80165, 2013, 77, diesel, 14322, 
kia, sorento, 117909, 2008, 125, diesel, 7512, 
skoda, yeti, 13854, 2014, 81, diesel, 16987, 
skoda, superb, 28911, 2015, 125, diesel, 25903, 
skoda, citigo, 10638, 2014, 44, gasoline, 6495, 
seat, ibiza, 65922, 2009, 51, gasoline, 5107, 
skoda, fabia, 74123, 2007, 74, gasoline, 3737, 
skoda, fabia, 105849, 2004, 47, gasoline, 2960, 
ford, focus, 148971, 2009, 80, diesel, 5736, 
skoda, fabia, 107166, 2003, 47, gasoline, 2997, 
skoda, fabia, 73520, 2002, 50, gasoline, 2590, 
skoda, octavia, 145665, 2003, 75, gasoline, 4276, 
ford, mondeo, 228198, 2003, 96, diesel, 2216, 
seat, ibiza, 160000, 2005, 55, diesel, 2772, 
toyota, avensis, 212478, 2005, 130, diesel, 4770, 
skoda, fabia, 149300, 2009, 51, gasoline, 4252, 
skoda, yeti, 100, 2015, 103, diesel, 27017, 
skoda, octavia, 1, 2015, 135, diesel, 29607, 
skoda, felicia, 161010, 1998, 55, gasoline, 999, 
fiat, punto, 117661, 2000, 51, gasoline, 740, 
skoda, octavia, 183402, 1998, 55, gasoline, 1406, 
skoda, octavia, 136975, 2007, 77, diesel, 5884, 
fiat, marea, 189874, 1998, 83, gasoline, 1110, 
citroen, xsara-picasso, 130895, 2001, 85, gasoline, 2220, 
skoda, yeti, 57838, 2009, 103, diesel, 12546, 
ford, focus, 200506, 2006, 100, diesel, 4067, 
toyota, auris, 87000, 2008, 130, diesel, 7364, 
citroen, berlingo, 252516, 1997, 50, diesel, 1291, 
ford, s-max, 145000, 2010, 103, diesel, 10729, 
ford, mondeo, 145198, 2011, 103, diesel, 10173, 
audi, a3, 208603, 2002, 75, gasoline, 1735, 
seat, leon, 10, 2014, 81, gasoline, 14692, 
honda, jazz, 85855, 2005, 57, gasoline, 2960, 
skoda, superb, 160678, 2008, 125, diesel, 9955, 
skoda, octavia, 289300, 2006, 103, diesel, 5477, 
skoda, fabia, 89555, 2007, 59, gasoline, 3552, 
opel, agila, 104315, 2008, 48, gasoline, 4404, 
skoda, octavia, 172961, 2007, 125, diesel, 7768, 
skoda, octavia, 95088, 2010, 77, diesel, 9248, 
ford, mondeo, 74204, 2010, 85, diesel, 10358, 
skoda, octavia, 140660, 2012, 77, diesel, 8142, 
skoda, fabia, 157800, 2004, 55, gasoline, 2957, 
toyota, rav4, 131412, 2007, 100, diesel, 7216, 
hyundai, i30, 113900, 2008, 93, diesel, 5732, 
skoda, octavia, 157500, 2010, 103, diesel, 9433, 
nissan, qashqai, 128800, 2008, 78, diesel, 7401, 
skoda, octavia, 130900, 2009, 90, gasoline, 8878, 
audi, a4, 220780, 2002, 114, diesel, 4071, 
opel, astra, 166929, 2012, 81, diesel, 8693, 
skoda, fabia, 185000, 2011, 55, diesel, 5181, 
ford, mondeo, 118000, 2013, 103, diesel, 12953, 
fiat, doblo, 176774, 2006, 62, diesel, 4400, 
skoda, fabia, 34000, 2006, 47, gasoline, 4404, 
opel, vivaro, 0, 2015, 85, diesel, 23190, 
mazda, mx-3, 163752, 1998, 79, gasoline, 1291, 
opel, vivaro, 0, 2015, 85, diesel, 21680, 
opel, vivaro, 0, 2015, 88, diesel, 23915, 
opel, vivaro, 0, 2015, 92, diesel, 24257, 
opel, vivaro, 0, 2015, 92, diesel, 24749, 
opel, vivaro, 0, 2015, 92, diesel, 25399, 
opel, vivaro, 0, 2015, 85, diesel, 22661, 
opel, vivaro, 0, 2015, 92, diesel, 23685, 
ford, mustang, 9200, 2015, 324, gasoline, 44781, 
honda, cr-v, 23736, 2014, 114, gasoline, 20170, 
nissan, primera, 257000, 1998, 96, gasoline, 1291, 
skoda, octavia, 89140, 2010, 118, gasoline, 10177, 
skoda, roomster, 246021, 2007, 63, gasoline, 1813, 
toyota, rav4, 164267, 2002, 85, diesel, 5177, 
skoda, fabia, 186145, 2005, 74, diesel, 3623, 
skoda, octavia, 21490, 2014, 77, diesel, 15688, 
toyota, yaris, 132050, 2001, 50, gasoline, 2364, 
citroen, c4-picasso, 126690, 2012, 82, diesel, 8734, 
chevrolet, alero, 114000, 1999, 104, gasoline, 2035, 
porsche, 987-boxster, 149000, 2005, 206, gasoline, 14766, 
ford, c-max, 155195, 2005, 107, gasoline, 4034, 
citroen, berlingo, 5000, 2015, 88, diesel, 14776, 
skoda, roomster, 70000, 2010, 93, gasoline, 5884, 
fiat, palio, 265000, 1998, 54, gasoline, 366, 
citroen, c-elysee, 3000, 2015, 73, diesel, 11893, 
toyota, avensis, 230000, 1999, 66, diesel, 1665, 
skoda, citigo, 9800, 2015, 44, gasoline, 7768, 
skoda, rapid, 21990, 2015, 90, gasoline, 14008, 
bmw, x3, 19500, 2015, 140, diesel, 48811, 
skoda, octavia, 220000, 2002, 66, diesel, 3327, 
audi, tt, 169930, 2006, 184, gasoline, 10547, 
skoda, fabia, 194795, 2003, 40, gasoline, 1698, 
mercedes-benz, viano, 203593, 2011, 120, diesel, 22168, 
skoda, octavia, 165000, 2011, 77, diesel, 8845, 
ford, galaxy, 254448, 2004, 96, diesel, 5514, 
rover, 200, 168000, 1996, 76, gasoline, 1106, 
hyundai, ix20, 15500, 2014, 66, gasoline, 9585, 
chevrolet, corvette, 43260, 2005, 297, gasoline, 23316, 
chrysler, pt-cruiser, 118000, 2001, 104, gasoline, 2590, 
skoda, octavia, 115851, 2014, 66, diesel, 11065, 
skoda, octavia, 149990, 2010, 77, diesel, 9178, 
nissan, tiida, 61191, 2008, 81, diesel, 4034, 
citroen, berlingo, 254209, 2001, 66, diesel, 2031, 
dodge, grand-caravan, 38800, 2012, 211, gasoline, 16653, 
ford, focus, 194089, 2007, 92, gasoline, 4807, 
skoda, yeti, 18204, 2014, 81, diesel, 16617, 
skoda, felicia, 138341, 2000, 50, gasoline, 1032, 
ford, focus, 230905, 2000, 55, gasoline, 1110, 
hyundai, santa-fe, 113317, 2008, 114, diesel, 9215, 
skoda, fabia, 130096, 2000, 50, gasoline, 2220, 
audi, q5, 78000, 2009, 176, diesel, 27720, 
skoda, octavia, 398000, 2000, 81, diesel, 1332, 
kia, sportage, 1, 2001, 61, diesel, 1813, 
skoda, yeti, 20564, 2015, 112, gasoline, 22168, 
seat, cordoba, 271673, 2001, 50, diesel, 1106, 
kia, sportage, 146000, 2002, 87, gasoline, 1776, 
skoda, octavia, 47698, 2014, 77, diesel, 13874, 
skoda, octavia, 144600, 2012, 103, diesel, 11065, 
skoda, superb, 234000, 2002, 96, diesel, 3293, 
nissan, micra, 112752, 2004, 48, diesel, 2953, 
ford, focus, 156503, 2008, 74, diesel, 4404, 
porsche, cayenne, 184046, 2006, 331, gasoline, 11065, 
skoda, octavia, 61722, 2008, 59, gasoline, 6365, 
skoda, octavia, 148543, 2004, 96, diesel, 4441, 
mazda, 2, 119015, 2008, 63, gasoline, 4663, 
volvo, s40, 192546, 1999, 85, gasoline, 1110, 
skoda, superb, 212826, 2008, 125, diesel, 9548, 
skoda, yeti, 93271, 2009, 77, gasoline, 9548, 
citroen, c5, 135046, 2011, 82, diesel, 7179, 
skoda, roomster, 115423, 2009, 51, gasoline, 4996, 
skoda, fabia, 74717, 2009, 51, diesel, 4996, 
skoda, octavia, 168200, 2012, 103, diesel, 10177, 
audi, a4, 190124, 1998, 92, gasoline, 1073, 
audi, q7, 210844, 2009, 176, diesel, 19578, 
subaru, forester, 145000, 2006, 116, gasoline, 5847, 
citroen, c3, 53000, 2008, 44, gasoline, 3256, 
fiat, marea, 154900, 2002, 77, diesel, 1406, 
mitsubishi, colt, 53324, 2007, 70, gasoline, 3663, 
opel, meriva, 21641, 2015, 103, gasoline, 12468, 
seat, leon, 16500, 2014, 77, gasoline, 11028, 
opel, astra, 20253, 2015, 121, diesel, 15540, 
skoda, fabia, 149000, 2009, 63, gasoline, 4766, 
skoda, octavia, 17897, 2014, 103, gasoline, 16173, 
opel, corsa, 264712, 1996, 33, gasoline, 736, 
skoda, octavia, 257600, 1998, 55, gasoline, 1439, 
ford, focus, 108000, 2004, 74, gasoline, 2331, 
skoda, octavia, 138000, 2012, 103, diesel, 11398, 
fiat, qubo, 0, 2015, 57, gasoline, 10692, 
audi, a6, 145700, 2010, 176, diesel, 15544, 
hyundai, i30, 29514, 2010, 80, gasoline, 6287, 
skoda, fabia, 55079, 2011, 63, gasoline, 6994, 
suzuki, ignis, 111500, 2007, 68, gasoline, 3626, 
opel, astra, 140000, 2004, 92, gasoline, 3404, 
skoda, octavia, 14251, 2014, 77, diesel, 17760, 
skoda, octavia, 35271, 2014, 81, gasoline, 18467, 
citroen, berlingo, 180000, 2007, 66, diesel, 2953, 
skoda, fabia, 148000, 2005, 47, gasoline, 2586, 
skoda, fabia, 89144, 2002, 55, gasoline, 2701, 
skoda, fabia, 172230, 2003, 47, diesel, 2553, 
skoda, citigo, 39666, 2014, 44, gasoline, 5177, 
skoda, superb, 183000, 2013, 125, diesel, 17579, 
skoda, octavia, 145700, 2008, 77, diesel, 7364, 
skoda, fabia, 20500, 2014, 63, gasoline, 9215, 
skoda, octavia, 155000, 2009, 100, diesel, 9511, 
skoda, octavia, 89722, 2005, 103, diesel, 7142, 
skoda, felicia, 27194, 2000, 50, gasoline, 1998, 
skoda, octavia, 154200, 2013, 77, diesel, 14766, 
toyota, avensis, 183000, 2002, 110, gasoline, 1476, 
skoda, octavia, 112000, 2010, 103, diesel, 9252, 
skoda, citigo, 3000, 2014, 55, gasoline, 8845, 
ford, mondeo, 235000, 1997, 85, gasoline, 666, 
audi, a4, 116000, 2008, 140, diesel, 10177, 
honda, cr-v, 298800, 2005, 103, diesel, 5144, 
skoda, octavia, 214573, 2010, 103, diesel, 7767, 
ford, galaxy, 201447, 2003, 85, diesel, 3293, 
ford, mondeo, 216000, 1999, 85, gasoline, 629, 
skoda, octavia, 128134, 2005, 132, gasoline, 6476, 
skoda, superb, 110695, 2011, 125, diesel, 15877, 
mitsubishi, l200, 285000, 1997, 73, diesel, 5181, 
hyundai, i30, 0, 2012, 99, gasoline, 9067, 
opel, tigra, 125158, 1996, 78, gasoline, 924, 
skoda, octavia, 21879, 2015, 103, gasoline, 15877, 
chevrolet, spark, 80000, 2008, 38, gasoline, 1850, 
ford, mondeo, 157000, 1999, 70, gasoline, 551, 
opel, astra, 185990, 2008, 66, diesel, 3663, 
skoda, octavia, 149543, 2010, 77, diesel, 8475, 
subaru, forester, 104000, 2011, 127, gasoline, 13323, 
skoda, superb, 101311, 2012, 103, diesel, 14799, 
subaru, xv, 38500, 2013, 84, gasoline, 15913, 
skoda, fabia, 122994, 2008, 63, gasoline, 4737, 
skoda, fabia, 156779, 2012, 55, diesel, 5547, 
skoda, superb, 14800, 2015, 125, diesel, 25869, 
skoda, octavia, 103845, 2006, 75, gasoline, 5884, 
skoda, octavia, 38338, 2012, 90, gasoline, 9992, 
citroen, berlingo, 137636, 2010, 66, diesel, 7994, 
citroen, c2, 96542, 2005, 44, gasoline, 2442, 
chevrolet, spark, 41675, 2010, 50, gasoline, 4219, 
skoda, superb, 288763, 2008, 85, diesel, 4996, 
skoda, octavia, 165952, 2009, 103, diesel, 8142, 
honda, cr-v, 20971, 2012, 110, gasoline, 16284, 
nissan, juke, 12601, 2014, 81, diesel, 12546, 
skoda, fabia, 180273, 2002, 50, gasoline, 2220, 
ford, focus, 102570, 2010, 85, gasoline, 6661, 
skoda, octavia, 241350, 1999, 55, diesel, 1776, 
opel, insignia, 106535, 2009, 118, diesel, 9252, 
skoda, octavia, 236424, 2002, 74, diesel, 2923, 
skoda, octavia, 215018, 2009, 77, diesel, 8327, 
skoda, octavia, 287680, 1999, 81, diesel, 1480, 
audi, a6, 216468, 2004, 132, diesel, 4293, 
skoda, octavia, 107770, 2010, 125, diesel, 12953, 
skoda, fabia, 98454, 2001, 44, gasoline, 2405, 
skoda, octavia, 122057, 2008, 77, diesel, 8512, 
honda, civic, 109603, 2007, 103, gasoline, 6513, 
skoda, rapid, 28831, 2013, 77, gasoline, 10399, 
ford, mondeo, 212920, 1999, 66, diesel, 1332, 
skoda, octavia, 196496, 2006, 85, gasoline, 4959, 
ford, focus, 59431, 2007, 74, gasoline, 5551, 
nissan, micra, 98740, 2008, 48, gasoline, 4071, 
citroen, c4, 31131, 2011, 88, gasoline, 8919, 
skoda, octavia, 166172, 2010, 103, diesel, 8142, 
seat, ibiza, 45436, 2008, 63, gasoline, 4441, 
opel, vectra, 174870, 1999, 85, gasoline, 1480, 
skoda, octavia, 83118, 2002, 75, gasoline, 3700, 
skoda, fabia, 67436, 2008, 51, gasoline, 5995, 
skoda, superb, 175159, 2011, 103, diesel, 14433, 
hyundai, i30, 12075, 2013, 73, gasoline, 9622, 
skoda, fabia, 229395, 2001, 55, gasoline, 1406, 
seat, cordoba, 181421, 2002, 44, gasoline, 1480, 
skoda, fabia, 6, 2015, 66, gasoline, 12805, 
opel, insignia, 8957, 2015, 125, diesel, 22205, 
opel, meriva, 12043, 2015, 88, gasoline, 12583, 
kia, sportage, 6077, 2015, 99, gasoline, 15914, 
opel, insignia, 7387, 2015, 120, diesel, 26276, 
opel, insignia, 7837, 2015, 120, diesel, 25536, 
opel, insignia, 6967, 2015, 120, diesel, 22945, 
opel, meriva, 13950, 2015, 88, gasoline, 12953, 
opel, meriva, 7388, 2015, 74, gasoline, 12213, 
opel, meriva, 10077, 2015, 88, gasoline, 13323, 
opel, meriva, 10036, 2015, 88, gasoline, 13323, 
kia, rio, 6659, 2015, 80, gasoline, 12583, 
opel, zafira, 151704, 2006, 88, diesel, 6291, 
opel, mokka, 9109, 2015, 100, diesel, 20725, 
skoda, octavia, 105933, 2011, 77, diesel, 10362, 
opel, astra, 128721, 2012, 81, diesel, 8179, 
hyundai, ix35, 76896, 2010, 135, diesel, 13693, 
mazda, 3, 178902, 2004, 85, diesel, 2960, 
skoda, felicia, 171080, 2000, 55, gasoline, 1476, 
toyota, rav4, 86000, 2011, 116, gasoline, 18467, 
skoda, fabia, 5, 2015, 66, gasoline, 11247, 
hyundai, ix55, 196000, 2010, 176, diesel, 10695, 
mazda, 6, 261652, 2005, 100, diesel, 3219, 
